2020-12-13 16:03:07,383 INFO  [restartedMain] com.contacts.PhoneBookApplication : Starting PhoneBookApplication using Java 1.8.0_261 on DESKTOP-VI5U1O2 with PID 9084 (C:\Users\siva\Documents\workspace-spring-tool-suite-4-4.8.1.RELEASE\phone-book\target\classes started by siva in C:\Users\siva\Documents\workspace-spring-tool-suite-4-4.8.1.RELEASE\phone-book)
2020-12-13 16:03:07,384 INFO  [restartedMain] com.contacts.PhoneBookApplication : No active profile set, falling back to default profiles: default
2020-12-13 16:03:07,666 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-12-13 16:03:07,687 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 18 ms. Found 1 JPA repository interfaces.
2020-12-13 16:03:07,889 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 2020 (http)
2020-12-13 16:03:07,890 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-12-13 16:03:07,890 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-13 16:03:07,993 INFO  [restartedMain] org.apache.jasper.servlet.TldScanner : At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2020-12-13 16:03:07,995 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-12-13 16:03:07,996 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 607 ms
2020-12-13 16:03:08,020 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Starting...
2020-12-13 16:03:08,023 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Start completed.
2020-12-13 16:03:08,023 INFO  [restartedMain] org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2020-12-13 16:03:08,065 INFO  [restartedMain] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-12-13 16:03:08,075 INFO  [task-1] org.hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2020-12-13 16:03:08,083 INFO  [task-1] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-12-13 16:03:08,126 WARN  [restartedMain] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-12-13 16:03:08,128 INFO  [task-1] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-12-13 16:03:08,128 INFO  [task-1] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-12-13 16:03:08,146 INFO  [task-2] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2020-12-13 16:03:08,212 INFO  [restartedMain] org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping : Adding welcome page template: index
2020-12-13 16:03:08,289 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port(s): 2020 (http) with context path ''
2020-12-13 16:03:08,290 INFO  [restartedMain] org.springframework.data.repository.config.DeferredRepositoryInitializationListener : Triggering deferred initialization of Spring Data repositories…
2020-12-13 16:03:08,367 INFO  [restartedMain] org.springframework.data.repository.config.DeferredRepositoryInitializationListener : Spring Data repositories initialized!
2020-12-13 16:03:08,372 INFO  [restartedMain] com.contacts.PhoneBookApplication : Started PhoneBookApplication in 1.07 seconds (JVM running for 349.812)
2020-12-13 16:03:08,375 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2020-12-13 16:03:16,977 INFO  [Thread-10] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2020-12-13 16:03:16,978 INFO  [Thread-10] org.hibernate.tool.schema.internal.SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2020-12-13 16:03:16,982 INFO  [Thread-10] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-13 16:03:17,185 WARN  [Thread-10] org.springframework.beans.factory.support.DisposableBeanAdapter : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2020-12-13 16:03:17,185 INFO  [Thread-10] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Shutdown initiated...
2020-12-13 16:03:17,191 INFO  [Thread-10] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Shutdown completed.
